"id","allLetter","area","firstLetter","onlineTime","peopleNumber","platId","platName","proTime","problemTime","regCapital","status1","status2","type"
"159","caiyichuangtou","山东","cyct1","2014-11-27 00:00:00","0","3253","财益创投","2014-12","2014-12-11 00:00:00","1500","0","0","提现困难"
"160","yashengcaifu2","浙江","yscf2","2014-07-25 00:00:00","0","3452","亚盛财富","2014-12","2014-12-11 00:00:00","1000","0","0","提现困难"
"161","huafuxintou","山东","hfxt1","2014-10-27 00:00:00","0","3252","华富信投","2014-12","2014-12-11 00:00:00","1000","0","0","跑路"
"162","","北京","","2014-10-29 00:00:00","0","6133","投融宝","2014-12","2014-12-10 00:00:00","1600","0","1","停业"
"163","qiantangrenjia","浙江","qtrj","2014-09-17 00:00:00","0","3254","钱塘人家","2014-12","2014-12-10 00:00:00","2000","0","0","提现困难"
"164","jubaopen","广东","jbp","2014-05-19 00:00:00","0","3255","聚宝盆","2014-12","2014-12-10 00:00:00","5000","0","0","提现困难"
"165","yibendai","浙江","ybd3","2014-05-08 00:00:00","0","3257","一本贷","2014-12","2014-12-10 00:00:00","501","0","0","提现困难"
"166","yulongtouzi2","湖南","yltz2","2014-09-06 00:00:00","0","4801","禹龙投资","2014-12","2014-12-10 00:00:00","0","0","1","跑路"
"167","quanmindai","浙江","qmd","2012-06-25 00:00:00","0","86","全民贷","2014-12","2014-12-09 00:00:00","2000","0","0","提现困难"
"168","huiyicaifu","安徽","hycf7","2014-08-13 00:00:00","0","3258","汇亿财富","2014-12","2014-12-09 00:00:00","1000","0","0","提现困难"
"169","jialunziben","四川","jlzb","2014-12-08 00:00:00","0","3265","佳伦资本","2014-12","2014-12-08 00:00:00","1000","0","0","跑路"
"170","xinhuizaixian","广东","xhzx1","2014-11-20 00:00:00","0","3174","鑫汇在线","2014-12","2014-12-06 00:00:00","1000","0","0","跑路"
"171","rongrongwang","北京","rrw","2013-07-19 00:00:00","0","200","融融网","2014-12","2014-12-05 00:00:00","5008","0","0","提现困难"
"172","xiaoweisuo","广东","xws","2014-05-05 00:00:00","0","3263","小微所","2014-12","2014-12-05 00:00:00","20000","0","0","提现困难"
"173","jubaotong","广东","jbt","2014-11-16 00:00:00","0","3267","聚宝通","2014-12","2014-12-05 00:00:00","10000","0","0","跑路"
"174","qingfangchengjinrong","浙江","qfcjr","2013-10-10 00:00:00","0","335","轻纺城金融","2014-12","2014-12-05 00:00:00","1000","0","0","经侦介入"
"175","shengshichuangtou","广东","ssct","2013-04-18 00:00:00","0","135","盛世创投","2014-12","2014-12-04 00:00:00","5000","0","0","提现困难"
"176","mantangjin","江苏","mtj","2014-02-18 00:00:00","0","3268","满堂金","2014-12","2014-12-04 00:00:00","10000","0","0","提现困难"
"177","yichengdai","浙江","ycd","2013-07-01 00:00:00","0","183","一城贷","2014-12","2014-12-03 00:00:00","20000","0","0","停业"
"178","jinnuoding","四川","jnd","2014-01-11 00:00:00","0","646","金诺鼎","2014-12","2014-12-03 00:00:00","5000","0","0","提现困难"
"179","xingfuedai","广东","xfed","2013-08-20 00:00:00","0","233","幸福e贷","2014-12","2014-12-03 00:00:00","0","0","0","跑路"
"180","junmaocaifu","浙江","jmcf2","2013-12-26 00:00:00","0","3269","君茂财富","2014-12","2014-12-03 00:00:00","5000","0","0","跑路"
"181","xianjiachuangfu","广东","xjcf","2013-12-03 00:00:00","0","390","现佳创富","2014-12","2014-12-02 00:00:00","5000","0","0","提现困难"
"182","lashoudai","山东","lsd1","2013-09-07 00:00:00","0","556","拉手贷","2014-12","2014-12-02 00:00:00","500","0","0","提现困难"
"183","yiyuandai","上海","yyd4","2014-06-25 00:00:00","0","758","益元贷","2014-12","2014-12-02 00:00:00","1050","0","0","提现困难"
"184","aiwangdai","山东","awd","2014-10-22 00:00:00","0","3273","爱网贷","2014-12","2014-12-02 00:00:00","1000","0","0","提现困难"
"185","jurongdai","浙江","jrd2","2014-12-02 00:00:00","0","3270","聚融贷","2014-12","2014-12-02 00:00:00","2000","0","0","跑路"
"186","shensudai","广东","ssd1","2014-04-29 00:00:00","0","1141","深速贷","2014-12","2014-12-01 00:00:00","2000","0","0","停业"
"187","chengxinbao","江苏","cxb","2014-07-30 00:00:00","0","3180","诚信宝","2014-12","2014-12-01 00:00:00","1000","0","0","停业"
